Mileage,Age,Brand,Horsepower,Price,Accidents_History,Last_Service_Date,ID
4307.8541780011,4.8439513852347185,BMW,246.31500771012975,17072.488091747902,1,2020-10-31,1350
52160.65356741317,1.4524213873473746,ford,182.78236868186707,17351.677401981055,1,2022-12-27,2684
42237.21436234395,5.673197885761176,BMW,22.188979809756006,9203.644480902323,3,,3201
58520.1103883963,2.806898434562929,nan,155.82435772028995,11785.969236202687,0,2022-08-26,1332
60376.76792768577,3.599797702470809,Ford,155.42104134279705,14663.608320179781,3,2021-12-22,2724
52299.32703698636,3.756751148481693,Toyota,75.96675386310827,16920.82643106756,0,2021-08-26,6744
56745.681503479886,7.550940452057819,BMW,178.78787335976784,5678.861497637437,1,2021-05-19,9743
67637.7844465213,3.0232149549534917,Ford,85.67927825300488,10821.341096220242,1,2021-11-30,9544
54015.06340041168,5.208410323043316,BMW,163.04607307558553,10591.259266876761,0,2021-01-22,5967
51305.02078591491,8.632221120549012,Toyota,150.98607514097384,13827.470937649638,0,2022-05-12,9778
42799.49514772557,6.252403777532134,BMW,161.06399021066687,10690.50249556216,2,2021-04-02,4687
46922.62604351299,5.592181827752403,Ford,171.6826593835841,26186.97783217118,0,2023-09-23,3006
36872.678766291254,0.32474577933690907,BMW,116.7285100415064,23036.250441795753,0,2022-11-09,4466
46106.34527248941,6.393067680449908,Ford,118.23102131239074,18872.024435439092,0,2023-07-18,6365
51786.06621308494,5.551584261460473,Toyota,159.16893618402133,17217.363938301616,0,2021-09-13,4040
42012.65121186398,7.535587527636661,BMW,104.03084786611944,5461.009827595995,1,2020-12-20,1292
38726.46514803593,7.89791162570454,nan,187.0508280374462,8533.63793580356,1,2022-11-01,6923
27631.13610941592,8.787512510661756,BMW,166.07213741132998,4883.959154689735,3,2021-05-31,6282
65509.35480219175,5.976627863227764,Ford,124.02244747223585,12860.109281907733,1,2022-10-06,8436
47323.14777654105,6.811250540905461,Toyota,145.30809674448275,15220.434759582065,1,2020-11-23,369
55244.81685489761,0.919310791981881,Ford,101.23201885688161,17424.169798872237,0,2022-04-29,2862
39300.09514411885,1.8414941894021841,ford,138.19185601923567,23872.287666378215,0,2023-04-21,7399
28750.94776361539,7.979960151715466,Toyota,184.4626450718775,19884.905257684637,0,2023-04-30,3517
54722.258067737355,6.730570500331025,BMW,66.41548732623401,4790.460598750464,1,2021-07-15,4709
54206.62557974444,7.785193236144732,Toyota,130.30201660705237,13819.200780220737,0,2021-04-23,4479
72976.52632302561,9.619974416065554,Toyota,111.97359829861162,13232.336038461086,0,2023-06-19,4472
28450.390029731276,5.567660756835467,BMW,77.12536923278732,22586.673525866074,0,2022-06-27,255
63011.11117032377,4.416461523765048,Ford,92.58792387080372,13609.374200696453,2,2022-03-29,2288
66759.57973304996,6.256985496114686,Ford,112.52752140485347,9278.609517429368,1,2021-12-24,3964
44052.14391475523,5.682174775507112,Toyota,143.8725561251797,15206.312504177906,0,2021-05-06,3799
74439.13654938292,9.114260153205237,Ford,180.68227090870585,5420.540598324022,1,2021-03-25,2372
40265.66108828277,9.394692397340764,Ford,96.8032330336604,9887.72263452466,2,,911
54537.07846609672,6.575503859150103,BMW,85.07335869478587,7745.954948830353,2,2021-06-03,9075
25316.09414315012,9.411588278738627,BMW,216.26584428697583,11111.634476537649,0,2022-12-08,1802
44040.92278506803,9.064677298230023,BMW,111.96698766893633,2649.8353496673953,1,2021-03-21,5404
59738.15791751318,4.114084718393064,Toyota,128.21383149965783,13341.737135432744,1,2021-08-08,4041
64435.126172215176,2.6263783564105267,Ford,124.91958230827825,17520.55018215979,1,2022-06-15,5514
-49831.578332640696,9.725981195284026,BMW,-61.026443694536255,68853.50315657315,1,2021-01-22,2699
47199.363322853314,6.715050795524558,Toyota,71.64120094787998,16561.97051532502,1,2023-04-23,9414
53268.550806825035,9.21973413885523,BMW,159.38421108678935,3326.0408251205226,0,2022-12-24,9871
52845.539181199936,8.67918274172993,BMW,251.02162271772022,1803.7062683668664,1,2022-08-26,7584
34590.54684386806,0.49491467155628355,BMW,107.96733233657207,17700.042030300014,0,2021-07-04,5439
64681.069761586084,8.457396341581294,BMW,122.11984341825337,3232.4697802042247,0,2021-07-23,5997
66916.75445191703,8.73131132451127,BMW,102.08795463677475,-1789.246237423482,0,2020-12-05,4692
72991.68821537687,7.951079451583122,Ford,178.97437788513403,10989.006193333593,0,2022-07-03,5051
56099.85631200322,6.300224972868235,Toyota,180.0653517586849,14101.773256819142,0,2021-02-15,6191
54271.85898701545,1.4162976114870351,Ford,148.66877783434322,16958.331995716213,0,2023-07-27,2782
40099.15519798876,3.524163469707189,ford,236.76969217576098,18101.307714248658,0,2021-09-29,8304
41576.31875595169,6.126881483507907,Ford,122.74941917812149,20035.2606117473,1,2022-06-21,3182
52996.76932129136,6.855068058840487,Toyota,159.25947973235077,9883.94140819681,1,2021-07-01,240
62369.27329457701,,Toyota,192.38988100623948,18280.878483514938,0,2023-03-11,1553
61662.35533747865,8.934060265156544,BMW,106.2007581326766,5493.901887325777,0,2023-05-15,9852
32028.606797134427,0.19336247994177436,BMW,212.40289210536574,21042.631763709265,0,2023-07-05,7252
36935.91664063073,7.257041046364968,BMW,53.99890927607403,9829.650288481966,0,2021-04-28,6703
43448.77493812989,9.669267000130077,BMW,232.0107573502439,7672.248431660717,0,2023-02-09,589
69527.69344347497,7.872984265883982,BMW,100.49957867207195,6669.758229412694,0,2023-07-04,426
72777.24388669583,0.2532633220456304,BMW,196.0405358640461,9354.156407066777,1,2022-01-07,9928
70762.80086871231,1.6591142079604049,BMW,121.7653832213418,11830.606445979296,0,2021-04-12,1534
35139.93604059276,0.020119204715881578,Toyota,122.85630097946746,19262.401470693927,0,2021-11-23,6982
71604.55461526434,9.819994092904569,Ford,209.8395868082797,10687.465712321617,0,2023-01-31,3612
66187.92092168734,8.621293303877573,Toyota,43.52830871549247,10127.044782694842,0,2021-01-17,7029
37171.39314123704,4.463260584432421,Ford,221.80403167239368,18380.9793384405,0,2021-02-19,9298
51278.7886185558,4.305466815459446,Toyota,37.95963999782941,14148.231873524732,1,2021-04-05,8923
60202.18649032749,5.687203990394377,Toyota,105.11226897358058,11105.294013117498,2,2021-05-18,638
48634.50998213292,0.4474059783233686,BMW,183.31882494128973,11117.51772623782,0,2020-10-27,786
51274.52205556561,,Toyota,230.33363166641823,14259.325497407694,0,2022-10-31,8524
62736.72817205667,8.973888178425897,Toyota,242.83111822362957,14679.046496615976,0,2023-04-07,3464
39643.5285595856,1.7936689149066876,Toyota,233.8202128127881,18908.99215920877,0,2022-09-26,7259
43003.713548960855,5.763309264619611,BMW,139.73402118662594,6354.475896977798,3,2021-02-23,3824
48011.47978019423,4.263969157830795,BMW,111.21243123124992,10325.65328954684,1,2021-01-01,5823
48915.69488659993,4.5813251100300025,Ford,98.8073530615552,18335.29123267251,0,2021-07-06,4789
44114.16502775545,5.331062449547115,Ford,54.46090363461428,18849.656793255042,2,2023-07-27,521
59246.88968939233,3.030692892057736,Toyota,210.21256627119882,16345.807921275056,0,2021-06-09,4495
43167.01244723985,9.766996259784294,Toyota,133.18656503829135,19613.79879776833,1,2022-11-17,1970
52260.472156808275,9.668024850188633,toyota,165.64459187446056,10949.22831407135,0,2022-06-12,863
79501.4595790211,5.371779333788922,Ford,171.0498323445412,10977.635329996243,0,2021-12-20,2495
67325.39651875246,0.6182213086310062,Ford,113.44315398667062,17608.830728493867,0,2023-08-26,6804
45483.5782021488,6.240803016413002,bmw,153.23408237841986,12417.673591336095,0,2022-12-28,4725
55687.27603332623,5.240260945909235,Ford,89.69334797362103,15065.225047873455,0,2023-02-27,1629
51458.76315466679,2.255220330886887,Toyota,155.43928449890257,16991.872813760205,0,2021-02-12,1259
29516.70909618692,4.5506949219874215,Ford,241.04420115842544,23711.20850765814,0,2023-05-22,6474
58958.187566051376,6.929903137003982,Ford,105.94086319771468,13215.468087418456,0,,3819
40200.729471081664,7.367926389405031,Toyota,142.9825971529057,18997.68616753021,0,2021-08-07,6430
52379.77895099364,7.473360944969714,Ford,115.34150959289573,13659.803178820941,0,2021-11-16,9754
49292.511985201374,5.103051171476589,Ford,118.06143889018287,14370.837661165395,1,2021-01-11,4793
30402.17715616099,9.622775748290449,BMW,164.40968458949558,8383.83428431853,1,2023-02-12,8073
17628.971540581148,6.362155333877388,Ford,83.56258055798462,28275.732184625456,0,2023-05-31,3102
45238.06674259892,4.6447313744580505,BMW,131.56985094311165,9308.806746034563,2,2022-05-31,3088
50616.233392158196,6.015600029756448,Toyota,172.14521351436372,17244.108019049298,2,2022-02-01,7127
40942.40670805774,6.795572398649928,BMW,120.81689201286994,13086.501674270157,0,2022-08-24,7999
68035.69773176617,0.02125394816527737,BMW,120.24429846289858,12795.491133616433,0,2023-02-06,7114
27113.3373220168,7.59776958731249,Ford,240.75293727620374,20478.803521347814,0,2021-08-28,5407
-38923.00909683898,2.2120556323361598,Ford,-100.4878662337672,91450.96509785904,1,2022-12-03,4320
23378.82777217025,6.946186119788744,Ford,63.37758595500226,20156.780605849508,0,2022-11-01,2087
-57857.64280398863,3.683432643678146,Ford,-191.7628068562752,68853.50315657315,0,2022-09-25,8002
53600.85393945078,6.370701534375911,Toyota,73.0763234158059,11327.547113139106,0,2021-06-22,903
43406.24674280759,4.355620985088634,BMW,156.393796142985,8630.01729253538,0,2020-10-24,4890
29877.549116254362,0.38004487981462276,Ford,145.66956862476528,18847.03996156904,1,2022-03-15,4801
35017.268058569476,8.302159852368929,BMW,115.1159736911444,9848.477312575404,1,2021-12-18,9798
68887.5069441622,1.4298979012766122,Ford,249.97000854191282,12714.517392930844,0,2020-10-30,5026
57330.3588681235,2.357656600509107,Ford,135.96568577699978,12617.551070562255,0,2020-10-13,9312
35973.09185843684,9.914233105026428,BMW,101.21919242092704,6868.534916161385,1,2022-08-08,3357
73355.1506229824,0.17438759451183006,BMW,219.06605217607995,10357.951706760487,0,2022-08-25,682
64579.55440798363,0.07866902523575692,Ford,89.87244424242006,9205.639468363446,0,2022-02-12,5357
79186.4208695949,1.4068940320214574,toyota,125.8824527925521,9700.671781697956,0,2020-10-15,5565
